6.92E-05,0.062031897,0.010133147,0.000586272,4.20E-05,4.67E-06,8.02E-07,1.99E-07,6.71E-08,7.04E-09
3.79E-05,0.06009716,0.013097334,0.000904008,7.28E-05,8.79E-06,1.60E-06,4.16E-07,1.45E-07,1.60E-08
2.05E-05,0.056952609,0.01644828,0.001348836,0.000121809,1.59E-05,3.08E-06,8.35E-07,3.00E-07,3.48E-08
1.10E-05,0.052875867,0.020107254,0.001951355,0.000197171,2.79E-05,5.71E-06,1.61E-06,5.97E-07,7.29E-08
5.90E-06,0.048160899,0.023966925,0.002742275,0.000309256,4.73E-05,1.02E-05,3.01E-06,1.15E-06,1.47E-07
3.14E-06,0.043090831,0.027898105,0.003749986,0.000470868,7.76E-05,1.77E-05,5.42E-06,2.13E-06,2.87E-07
1.66E-06,0.037917883,0.031758792,0.004997841,0.000697138,0.000123724,2.97E-05,9.48E-06,3.83E-06,5.42E-07
8.71E-07,0.032850948,0.035404413,0.006501423,0.001005213,0.000191724,4.86E-05,1.61E-05,6.69E-06,9.92E-07
4.56E-07,0.028050187,0.038698111,0.008266103,0.001413673,0.000289343,7.71E-05,2.65E-05,1.13E-05,1.76E-06
2.38E-07,0.023627299,0.041519992,0.010285145,0.001941685,0.000425866,0.000119267,4.25E-05,1.87E-05,3.05E-06
1.24E-07,0.019649851,0.043774461,0.01253862,0.00260792,0.000612108,0.000180009,6.65E-05,3.00E-05,5.13E-06
6.40E-08,0.016148064,0.045395118,0.014993264,0.003429297,0.000860223,0.000265392,0.000101581,4.71E-05,8.43E-06
3.31E-08,0.013122658,0.046346999,0.017603335,0.004419643,0.001183366,0.000382661,0.000151618,7.21E-05,1.35E-05
1.71E-08,0.010552726,0.046626256,0.020312424,0.005588368,0.001595206,0.000540194,0.000221421,0.000108041,2.12E-05
8.80E-09,0.008402905,0.046257647,0.023056063,0.006939281,0.002109304,0.000747386,0.000316721,0.000158427,3.25E-05
4.52E-09,0.006629449,0.045290326,0.025764922,0.008469644,0.00273838,0.001014425,0.000444176,0.000227664,4.88E-05
2.32E-09,0.005185043,0.043792545,0.028368314,0.010169562,0.003493518,0.001351978,0.000611307,0.000320922,7.18E-05
1.19E-09,0.004022367,0.04184585,0.030797733,0.012021773,0.004383346,0.00177078,0.000826357,0.000444149,0.00010383
6.12E-10,0.003096549,0.039539291,0.032990162,0.014001869,0.005413269,0.002281148,0.001098086,0.00060401,0.000147434
3.14E-10,0.002366684,0.036964092,0.034890925,0.016078945,0.006584791,0.002892439,0.001435495,0.000807772,0.000205795
1.61E-10,0.001796612,0.03420905,0.036455911,0.018216635,0.007894997,0.003612485,0.001847481,0.001063124,0.000282591
8.25E-11,0.001355174,0.031356883,0.037653073,0.020374474,0.009336224,0.004447032,0.002342447,0.00137795,0.00038201
4.23E-11,0.001016075,0.028481552,0.038463166,0.022509481,0.010895968,0.005399229,0.002927875,0.001760044,0.000508715
2.17E-11,0.00075753,0.025646562,0.038879752,0.024577878,0.01255702,0.006469195,0.003609894,0.002216794,0.000667776
1.11E-11,0.000561774,0.02290414,0.038908553,0.026536816,0.014297853,0.007653697,0.004392857,0.00275483,0.000864572
5.72E-12,0.000414522,0.020295149,0.038566253,0.028346021,0.016093216,0.008945962,0.005278961,0.003379671,0.001104665
2.94E-12,0.000304427,0.01784959,0.037878906,0.029969267,0.017914924,0.010335643,0.006267928,0.004095376,0.001393641
1.51E-12,0.000222582,0.015587526,0.036880071,0.03137559,0.01973278,0.011808939,0.007356773,0.004904226,0.001736927
7.78E-13,0.000162062,0.013520284,0.035608829,0.032540218,0.021515597,0.013348876,0.008539671,0.005806451,0.002139594
4.01E-13,0.000117534,0.011651796,0.034107804,0.033445171,0.02323224,0.014935728,0.009807935,0.006800027,0.002606143
2.07E-13,8.49E-05,0.009979981,0.032421279,0.034079528,0.024852664,0.016547557,0.011150114,0.007880543,0.003140292
1.07E-13,6.11E-05,0.008498079,0.030593513,0.03443939,0.026348869,0.018160851,0.012552197,0.009041158,0.003744774
5.53E-14,4.39E-05,0.007195881,0.02866729,0.034527559,0.027695744,0.019751227,0.013997936,0.010272653,0.004421148
2.85E-14,3.14E-05,0.006060815,0.026682741,0.034352978,0.028871772,0.021294155,0.01546924,0.011563568,0.005169638
1.49E-14,2.24E-05,0.005078883,0.024676459,0.033929989,0.029859556,0.022765684,0.016946663,0.012900431,0.005989014
7.66E-15,1.59E-05,0.004235416,0.022680881,0.033277457,0.03064617,0.02414313,0.018409925,0.014268057,0.0068765
4.11E-15,1.13E-05,0.003515688,0.020723929,0.032417828,0.031223326,0.025405696,0.01983847,0.015649925,0.007827746
2.00E-15,8.01E-06,0.002905374,0.01882888,0.03137615,0.031587365,0.026535009,0.021212026,0.017028581,0.008836839
1.11E-15,5.66E-06,0.00239088,0.017014424,0.030179118,0.031739091,0.027515548,0.022511139,0.018386096,0.009896367
5.55E-16,3.99E-06,0.001959564,0.01529487,0.028854183,0.03168347,0.028334958,0.023717671,0.019704517,0.010997534
3.33E-16,2.80E-06,0.001599874,0.013680473,0.027428734,0.031429208,0.028984245,0.024815245,0.020966324,0.012130316
1.11E-16,1.97E-06,0.001301401,0.012177832,0.025929396,0.030988259,0.029457856,0.025789607,0.022154855,0.013283658
1.11E-16,1.38E-06,0.00105489,0.010790342,0.024381439,0.030375265,0.029753636,0.026628916,0.023254702,0.014445706
1.11E-16,9.66E-07,0.000852198,0.009518662,0.022808316,0.029606976,0.029872698,0.027323941,0.024252054,0.015604054
0,6.75E-07,0.000686242,0.008361181,0.021231314,0.028701662,0.029819196,0.02786818,0.025134973,0.016746018
0,4.71E-07,0.000550906,0.007314465,0.019669329,0.02767854,0.029600032,0.028257878,0.025893617,0.017858904
0,3.28E-07,0.000440962,0.006373673,0.018138736,0.026557245,0.029224507,0.028491984,0.026520381,0.01893028
0,2.28E-07,0.000351969,0.005532932,0.016653362,0.025357343,0.028703935,0.028572018,0.027009981,0.01994823
0,1.59E-07,0.000280182,0.004785666,0.015224526,0.024097907,0.02805124,0.028501894,0.027359458,0.020901597
0,1.10E-07,0.000222465,0.004124881,0.013861148,0.022797154,0.027280544,0.028287681,0.027568134,0.021780191
0,7.64E-08,0.000176204,0.003543402,0.012569906,0.021472158,0.026406774,0.027937336,0.027637496,0.022574971
0,5.30E-08,0.000139236,0.003034065,0.011355429,0.020138621,0.025445274,0.027460401,0.02757105,0.023278187
0,3.67E-08,0.000109777,0.00258987,0.010220508,0.018810718,0.024411463,0.0268677,0.027374122,0.023883497
0,2.54E-08,8.64E-05,0.002204097,0.009166323,0.017500995,0.023320518,0.026171019,0.027053638,0.024386028
0,1.76E-08,6.78E-05,0.00187039,0.008192676,0.016220327,0.022187106,0.025382805,0.026617879,0.024782415
0,1.21E-08,5.31E-05,0.001582812,0.007298209,0.014977918,0.021025157,0.024515871,0.026076232,0.025070798
0,8.38E-09,4.16E-05,0.001335878,0.006480621,0.013781345,0.01984768,0.023583127,0.025438926,0.025250785
0,5.79E-09,3.24E-05,0.001124575,0.005736867,0.012636634,0.018666628,0.022597335,0.024716787,0.025323383
0,3.99E-09,2.53E-05,0.000944355,0.005063338,0.011548357,0.017492796,0.021570896,0.02392099,0.025290916
0,2.75E-09,1.97E-05,0.00079113,0.004456022,0.01051975,0.016335769,0.020515666,0.02306284,0.025156901
0,1.90E-09,1.53E-05,0.000661247,0.003910649,0.009552847,0.015203893,0.01944281,0.022153564,0.024925927
0,1.31E-09,1.19E-05,0.000551468,0.003422806,0.008648611,0.014104281,0.01836268,0.021204126,0.02460351
0,9.02E-10,9.19E-06,0.000458938,0.002988048,0.007807076,0.013042851,0.017284733,0.020225079,0.024195945
0,6.21E-10,7.11E-06,0.000381151,0.002601971,0.007027484,0.012024369,0.016217471,0.019226422,0.023710154
0,4.28E-10,5.49E-06,0.000315924,0.002260287,0.006308412,0.011052527,0.015168412,0.018217504,0.023153534
0,2.95E-10,4.24E-06,0.000261363,0.001958874,0.005647898,0.010130016,0.014144085,0.017206942,0.022533811
0,2.03E-10,3.27E-06,0.000215829,0.001693812,0.005043557,0.009258624,0.01315004,0.01620256,0.021858898
0,1.40E-10,2.51E-06,0.000177914,0.001461412,0.00449268,0.008439321,0.012190882,0.015211361,0.021136766
