3.23E-13,4.24E-09,4.36E-07,5.79E-06,2.78E-05,0.000489501
1.86E-13,2.73E-09,3.00E-07,4.17E-06,2.06E-05,0.000389099
1.07E-13,1.76E-09,2.07E-07,3.00E-06,1.53E-05,0.000308553
6.21E-14,1.13E-09,1.42E-07,2.16E-06,1.13E-05,0.000244129
3.59E-14,7.31E-10,9.80E-08,1.55E-06,8.35E-06,0.000192746
2.08E-14,4.72E-10,6.74E-08,1.11E-06,6.16E-06,0.000151872
1.21E-14,3.05E-10,4.64E-08,7.96E-07,4.54E-06,0.000119439
7.11E-15,1.97E-10,3.19E-08,5.70E-07,3.34E-06,9.38E-05
4.11E-15,1.27E-10,2.19E-08,4.08E-07,2.46E-06,7.35E-05
2.33E-15,8.23E-11,1.51E-08,2.92E-07,1.81E-06,5.75E-05
1.44E-15,5.33E-11,1.04E-08,2.09E-07,1.33E-06,4.49E-05
7.77E-16,3.45E-11,7.12E-09,1.49E-07,9.75E-07,3.51E-05
5.55E-16,2.24E-11,4.90E-09,1.07E-07,7.15E-07,2.73E-05
2.22E-16,1.45E-11,3.37E-09,7.61E-08,5.24E-07,2.13E-05
2.22E-16,9.44E-12,2.32E-09,5.44E-08,3.84E-07,1.65E-05
1.11E-16,6.14E-12,1.60E-09,3.88E-08,2.81E-07,1.28E-05
0,3.99E-12,1.10E-09,2.77E-08,2.06E-07,9.95E-06
1.11E-16,2.60E-12,7.56E-10,1.98E-08,1.51E-07,7.71E-06
0,1.70E-12,5.21E-10,1.41E-08,1.10E-07,5.97E-06
0,1.11E-12,3.59E-10,1.01E-08,8.05E-08,4.62E-06
0,7.23E-13,2.47E-10,7.20E-09,5.89E-08,3.57E-06
0,4.73E-13,1.71E-10,5.14E-09,4.30E-08,2.76E-06
0,3.10E-13,1.18E-10,3.67E-09,3.15E-08,2.13E-06
0,2.03E-13,8.12E-11,2.62E-09,2.30E-08,1.64E-06
0,1.33E-13,5.61E-11,1.87E-09,1.68E-08,1.27E-06
0,8.75E-14,3.88E-11,1.34E-09,1.23E-08,9.75E-07
0,5.75E-14,2.68E-11,9.55E-10,8.97E-09,7.51E-07
0,3.77E-14,1.86E-11,6.83E-10,6.55E-09,5.78E-07
0,2.50E-14,1.28E-11,4.88E-10,4.79E-09,4.45E-07
0,1.64E-14,8.90E-12,3.49E-10,3.50E-09,3.42E-07
0,1.09E-14,6.17E-12,2.50E-10,2.56E-09,2.63E-07
0,7.22E-15,4.28E-12,1.79E-10,1.87E-09,2.02E-07
0,4.66E-15,2.97E-12,1.28E-10,1.37E-09,1.55E-07
0,3.22E-15,2.06E-12,9.17E-11,1.00E-09,1.19E-07
0,2.11E-15,1.43E-12,6.57E-11,7.32E-10,9.16E-08
0,1.33E-15,9.97E-13,4.71E-11,5.36E-10,7.04E-08
0,8.88E-16,6.94E-13,3.38E-11,3.92E-10,5.40E-08
0,6.66E-16,4.84E-13,2.42E-11,2.87E-10,4.15E-08
0,4.44E-16,3.37E-13,1.74E-11,2.10E-10,3.18E-08
0,2.22E-16,2.35E-13,1.25E-11,1.54E-10,2.44E-08
